"sous_corpus","expression","Phrase(s)"
"Sequoia","susciter doute","§ ['suscitait', 'doutes'] : ""Mis en place (...) par mesure d'assurance"" et ""dans des conditions non rigoureuses"", écrivait Jean-François Briand, l'ancien directeur général de Thomson-CSF, ce réseau suscitait plus de doutes que de certitudes chez les dirigeants d'Elf."
"Sequoia","susciter certitude","§ ['suscitait', 'certitudes'] : ""Mis en place (...) par mesure d'assurance"" et ""dans des conditions non rigoureuses"", écrivait Jean-François Briand, l'ancien directeur général de Thomson-CSF, ce réseau suscitait plus de doutes que de certitudes chez les dirigeants d'Elf."
"Sequoia","adresser demande","§ ['adressé', 'demande'] : - Le 16 juin 2006, les juges Renaud van Ruymbeke et Xavière Simeoni (qui remplace Dominique de Talancé) ont adressé une nouvelle demande de levée du secret défense au ministère de l'Économie et des Finances, seul habilité à saisir la commission consultative du secret de la défense nationale (CCSDN)."
"Sequoia","se désolidariser","§ [""s'"", 'désolidarisée'] : - L'actuelle direction de Thales, présidée par Denis Ranque, dit n'être pas concernée par l'enquête, et s'est désolidarisée d'Alain Gomez, PDG de Thomson CSF au moment des faits."
"Sequoia","se étonner","§ [""s'"", 'étonne'] : Il s'étonne également des tarifs -100 000 francs la page (15 000)- demandés aux entreprises qui passent des publicités dans Le Clichois, modeste journal électoral de Didier Schuller."
"Sequoia","mettre en examen","§ ['mis', 'en', 'examen'] : - 21 décembre 1994 : le Dr Jean-Pierre Maréchal, beau-père du juge Eric Halphen, est mis en examen pour trafic d'influence et extorsion de fonds.  § ['mis', 'en', 'examen'] : - 8 novembre 1994 : Rémy Halbwax est mis en examen.  § ['mis', 'en', 'examen'] : - 14 novembre 1994 : Michel Roussin, ancien directeur de cabinet de Jacques Chirac, est mis en examen."
"Sequoia","faire pression","§ ['faire', 'pression'] : Le Dr Maréchal lui aurait proposé le 11 octobre 1994, de faire pression sur son gendre pour qu'il freine son instruction en direction des Hauts-de-Seine."
"Sequoia","faire figure","§ ['fait', 'figure'] : - En l'absence de tout responsable politique, c'est l'ancien directeur général de l'Office public HLM de Paris et élu corrézien, Georges Pérol, qui fait figure de clé de voûte de ce vaste système de versements de commissions par les entreprises et de détournement de procédures dans l'attribution de marchés publics."
"Sequoia","investigation mener","§ ['investigations', 'menées'] : Cependant, par un jugement de la Cour de cassation, les tribunaux ne peuvent examiner les investigations menées sur les voyages payés en espèces par Jacques Chirac pour plusieurs millions de francs, qui avaient motivé en 2001 l'interrogatoire par les juges d'instruction de plusieurs proches du chef de l'État, dont sa fille Claude Chirac."
"Sequoia","se étaler","§ [""s'"", 'étaler'] : Le procès doit s'étaler sur cinq semaines, jusqu'au 22 novembre 2006, à raison de deux jours d'audience par semaine en moyenne."
"Sequoia","donner instruction","§ ['donnait', 'instructions'] : Lors de ces échanges, Moggi donnait ses instructions pour la désignation des arbitres dans le matches de son équipe."
"Sequoia","faire partie","§ ['faisait', 'partie'] : Les douze membres du Conseil d'administration de la Juve, dont faisait partie Moggi, démissionnent le 11 mai 2006 [2].  § ['faisaient', 'partie'] : Triste pour les musiciens qui, en majorité, faisaient partie de la batterie depuis au moins trente ans.  § ['faisaient', 'partie'] : Denise et son époux René, ancien lieutenant des pompiers de l'Isle-sur-le-Doubs, faisaient aussi partie de l'Union nationale des combattants."
"Sequoia","subir attaque","§ ['subi', 'attaque'] : Sur la première, des fumées ont été rajoutées par ordinateur sur une photo représentant un quartier de Beyrouth ayant subi une attaque aérienne."
"Sequoia","tourner court","§ ['tourna', 'court'] : Après avoir contribué à diminuer le soutien à la guerre, il tourna court avec la perte de l'Indochine et le climat politique et social qui s'ensuivit, peu propice aux débats sur la période coloniale ; il n'eut pas de suites judiciaires en France."
"Sequoia","se ensuivre","§ [""s'"", 'ensuivit'] : Après avoir contribué à diminuer le soutien à la guerre, il tourna court avec la perte de l'Indochine et le climat politique et social qui s'ensuivit, peu propice aux débats sur la période coloniale ; il n'eut pas de suites judiciaires en France."
"Sequoia","avoir suite","§ ['eut', 'suites'] : Après avoir contribué à diminuer le soutien à la guerre, il tourna court avec la perte de l'Indochine et le climat politique et social qui s'ensuivit, peu propice aux débats sur la période coloniale ; il n'eut pas de suites judiciaires en France."
"Sequoia","se avérer","§ [""s'"", 'avéra'] : Selon Bernard B. Fall, ce trafic fut l'une des sources de profit dans le cadre d'une colonisation dont le bilan général s'avéra très négatif pour le budget national.  § [""s'"", 'avérée'] : Néanmoins, la bivalirudine ne s'est pas avérée mutagène ni clastogène dans les tests standards.  § [""s'"", 'avéré'] : Angiox s'est avéré aussi efficace que les traitements auxquels il a été comparé."
"Sequoia","avoir occasion","§ ['auront', 'occasion'] : Les membres du club auront l'occasion de s'entraîner cet après-midi, dès 14h, salle Jean-Mathieu."
"Sequoia","assemblée tenir","§ ['assemblée', 'tenait'] : Le double événement était fêté comme il se doit et conjointement par les deux établissements, mercredi 23 juin, à l'occasion de l'assemblée générale décentralisée des Offices de tourisme et Syndicats d'initiative du Doubs qui se tenait le même jour, sous la présidence d'Edmond Maire, à la Saline Royale."
"Sequoia","prendre plaisir","§ ['prenait', 'plaisir'] : Quand elle ne vaquait pas à ses occupations ménagères, elle utilisait les transports en commun et descendait seule faire ses courses en centre ville, et prenait alors plaisir à faire un brin de causette avec ses copines de rencontre."
"Sequoia","faire causette","§ ['faire', 'causette'] : Quand elle ne vaquait pas à ses occupations ménagères, elle utilisait les transports en commun et descendait seule faire ses courses en centre ville, et prenait alors plaisir à faire un brin de causette avec ses copines de rencontre."
"Sequoia","en faire autant","§ ['en', 'fasse', 'autant'] : à ce jour, ils attendent que leur directeur en fasse tout autant."
"Sequoia","se incliner","§ [""s'"", 'inclina'] : L'EBM s'inclina devant Joeuf par 70-61."
"Sequoia","présenter signe","§ ['présente', 'signes'] : Le conducteur présente des signes d'ivresse et est conduit au commissariat central où son taux d'alcoolémie est fixé à 1,74 gramme par litre de sang.  § ['présentent', 'signes'] : Il convient de surveiller attentivement que les patients ne présentent pas de symptômes et de signes de saignement pendant le traitement, notamment si la bivalirudine est combinée à un autre anticoagulant (voir Section 4.5).  § ['présentaient', 'signes'] : Plusieurs présentaient des signes d'infection localisée, y compris une ostéomyélite."
"Sequoia","avoir espoir","§ ['avions', 'espoir'] : ""Nous avions bon espoir d'obtenir d'elle un prêt-relais pour acheter les matières premières nécessaires au redémarrage de l'activité, car dans l'usine, les machines sont arrêtées depuis le 14 janvier dernier"" explique le directeur d'EFI Michel Balandier."
"Sequoia","faire état","§ ['font', 'état'] : M. Rivasseau a réaffirmé l'""exigence absolue du respect des droits de l'Homme"" pour Paris alors que des témoignages de réfugiés font état d'exactions, viols, et pillages par des éléments semble-t-il libériens.  § ['faire', 'état'] : Et c'est précisément l'acceptation de ce principe qui l'a conduite aux succès dont nous pouvons faire état, comme nous le faisons tous assurément de temps à autre."
"Sequoia","donner résultat","§ ['donné', 'résultats'] : Les obligations de parité prévues par la loi ont donné des résultats."
"Sequoia","se promener","§ ['se', 'promener'] : Elle aimait se promener avec ses amies et surtout passer du temps avec ses enfants, ses sept petits-enfants et ses sept arrière-petits-enfants.  § ['se', 'promenaient'] : Les trois lascars se promenaient sur un chemin de terre, à proximité de la gendarmerie."
"Sequoia","donner accord","§ ['donne', 'accord'] : Le conseil municipal donne son accord pour cette procédure."
"Sequoia","présenter problème","§ ['présentent', 'problèmes'] : Angiox ne doit pas être utilisé chez les patients qui présentent des problèmes rénaux aigus."
"Sequoia","atteindre syndrome","§ ['atteints', 'syndrome'] : Traitement des patients atteints d'un syndrome coronarien aigu (angor instable / infarctus du myocarde sans sus décalage du segment ST (AI / IDM ST-)) devant bénéficier d'une intervention urgente ou précoce.  § ['atteints', 'syndrome'] : ACUITY est une étude prospective, randomisée, en ouvert, destinée à comparer la bivalirudine associée ou non à un inhibiteur de la GP IIb/IIIa (respectivement bras B et C) et l'enoxaparine ou l'héparine non fractionnée (HNF) associée à un inhibiteur de la GP IIb/IIIa (bras A), chez plus de 13 819 patients atteints d'un syndrome coronarien aigu (SCA) et considérés à haut risque."
"Sequoia","bénéficier de intervention","§ ['bénéficier', ""d'"", 'intervention'] : Traitement des patients atteints d'un syndrome coronarien aigu (angor instable / infarctus du myocarde sans sus décalage du segment ST (AI / IDM ST-)) devant bénéficier d'une intervention urgente ou précoce.  § ['bénéficient', ""d'"", 'intervention'] : - Chez les patients qui bénéficient d'une intervention chirurgicale destinée à traiter des obstructions  § ['bénéficier', ""d'"", 'intervention'] : Si, après cela, vous devez bénéficier d'une intervention coronaire percutanée (ICP), il vous sera administré :"
"Sequoia","bénéficier de ICP","§ ['bénéficiant', ""d'"", 'ICP'] : La dose recommandée d'Angiox, pour les patients bénéficiant d'une ICP, est un bolus intraveineux de 0,75 mg/kg de poids corporel immédiatement suivi d'une perfusion intraveineuse à raison de 1,75 mg/kg/heure pendant au moins la durée de l'intervention.  § ['bénéficier', ""d'"", 'ICP'] : Pour les patients devant bénéficier d'une ICP, un bolus additionnel de 0,5 mg/kg est administré et la perfusion est augmentée à 1,75 mg/kg/h durant l'intervention.  § ['bénéficier', ""d'"", 'ICP'] : Si le patient doit bénéficier d'une ICP, un bolus additionnel de 0,5 mg/kg doit être administré et la perfusion augmentée à 1,75 mg/kg/h durant l'intervention."
"Sequoia","présenter événement indésirable","§ ['présenté', 'événement', 'indésirable'] : Environ 30% des patients recevant de la bivalirudine ont présenté au moins un événement indésirable et 3% ont présenté une réaction indésirable au médicament."
"Sequoia","présenter réaction","§ ['présenté', 'réaction'] : Environ 30% des patients recevant de la bivalirudine ont présenté au moins un événement indésirable et 3% ont présenté une réaction indésirable au médicament.  § ['présenté', 'réaction'] : Environ 23,3% des patients recevant de la bivalirudine ont présenté au moins un évènement indésirable et 2,1% ont présenté une réaction indésirable au médicament."
"Sequoia","subir ICP","§ ['subissant', 'ICP'] : Les résultats à 30 jours, basés sur les critères d'évaluation quadruple et triple d'une étude randomisée en double aveugle portant sur plus de 6 000 patients subissant une ICP (REPLACE-2), sont présentés dans le tableau 8.  § ['subir', 'ICP'] : Angiox est aussi utilisé pour prévenir la formation de caillots sanguins chez les patients qui vont subir une ICP.  § ['subissant', 'ICP'] : Lorsqu'il est utilisé pour prévenir la formation de caillots sanguins chez les patients subissant une ICP, une dose plus élevée d'Angiox est utilisée, et la perfusion peut être poursuivie jusqu'à quatre heures après la procédure."
"Sequoia","entraîner complication","§ ['entraîner', 'complications'] : - Des thromboses (caillots sanguins) qui peuvent entraîner des complications sévères comme une crise cardiaque."
"Sequoia","prendre contact","§ ['prendre', 'contact'] : Pour toute information complémentaire concernant ce médicament, veuillez prendre contact avec le représentant local du titulaire de l'autorisation de mise sur le marché."
"Sequoia","se trouver","§ ['se', 'trouve'] : la maladie osseuse de Paget, maladie dans laquelle le processus normal de croissance osseuse se trouve modifié.  § ['se', 'trouvait'] : Mais peu avant 14h, la jeune fille prévenait sa famille qu'elle était saine et sauve et qu'elle se trouvait à Lyon.  § ['se', 'trouve'] : Celle-ci se trouve au centre des processus complexes de la coagulation sanguine."
"Sequoia","tenir compte","§ ['tenu', 'compte'] : La première étude a porté sur près de 8 000 femmes âgées souffrant d'ostéoporose et a tenu compte du nombre de fractures de la colonne vertébrale et de la hanche intervenues sur une période de trois ans.  § ['tenir', 'compte'] : Mais, pour ce faire, il faut tenir compte du fait qu'il existe une corrélation entre le rendement issu de l'activité de pêche et l'augmentation de l'effort de pêche.  § ['tenir', 'compte'] : La commission de sécurité venant inspecter les locaux, il faudra tenir compte d'éventuelles mises en conformité décidées par ladite commission."
"Sequoia","présenter risque","§ ['présentant', 'risque'] : Le comité des médicaments à usage humain (CHMP) a estimé que les bénéfices d'Aclasta sont supérieurs aux risques qu'il comporte dans le traitement de l'ostéoporose chez la femme post-ménopausique et chez les hommes, présentant un risque accru de fracture, y compris chez les patients s'étant récemment fracturé la hanche à la suite d'un faible traumatisme, ainsi que dans le traitement de la maladie osseuse de Paget.  § ['présentant', 'risque'] : présentant un saignement actif ou un risque accru de saignement en raison de troubles de l'hémostase et/ou de troubles irréversibles de la coagulation ;  § ['présentent', 'risque'] : Il est administré aux patients qui présentent un risque de fracture (cassure des os), notamment chez les patients s'étant récemment fracturé la hanche à la suite d'un faible traumatisme, comme une chute ;"
"Sequoia","contre-indiquer","§ ['contre-indiqué'] : Aclasta est contre-indiqué chez les patients ayant une hypocalcémie (voir rubrique 4.4).  § ['contre-indiqué'] : Aclasta est contre-indiqué chez la femme enceinte ou qui allaite (voir rubrique 4.6).  § ['contre-indiqué'] : Angiox est contre-indiqué chez les patients atteints d'insuffisance rénale sévère (TFG < 30 ml/min) ainsi que chez les patients sous dialyse (voir rubrique 4.3)."
"Sequoia","avoir hypocalcémie","§ ['ayant', 'hypocalcémie'] : Aclasta est contre-indiqué chez les patients ayant une hypocalcémie (voir rubrique 4.4).  § ['avez', 'hypocalcémie'] : - si vous avez une hypocalcémie (cela signifie un taux de calcium sanguin trop faible)."
"Sequoia","faire le objet surveillance","§ ['faire', ""l'"", 'objet', 'surveillance'] : Les patients doivent être informés sur les symptômes caractérisant l'hypocalcémie et faire l'objet d'une surveillance clinique appropriée pendant la période à risque.  § ['faire', ""l'"", 'objet', 'surveillance'] : Les patients doivent être informés des symptômes d'une hypocalcémie et faire l'objet d'une surveillance clinique appropriée pendant la période à risque."
"Sequoia","étude effectuer","§ ['études', 'effectuées'] : Des études effectuées chez l'animal avec l'acide zolédronique ont mis en évidence une toxicité sur la reproduction, dont des malformations (voir rubrique 5.3)."
"Sequoia","mettre en évidence","§ ['mis', 'en', 'évidence'] : Des études effectuées chez l'animal avec l'acide zolédronique ont mis en évidence une toxicité sur la reproduction, dont des malformations (voir rubrique 5.3).  § ['mis', 'en', 'évidence'] : Aucun financement politique occulte n'a pu être mis en évidence.  § ['mis', 'en', 'évidence'] : L'enquête réalisée par le conseil municipal des jeunes avait mis en évidence l'intérêt des adultes pour ces activités artistiques."
"Sequoia","il se agir","§ ['il', ""s'"", 'agit'] : Très brièvement, il s'agit de limiter les émissions de CO2 imputables à l'homme.  § ['Il', ""s'"", 'agirait'] : Il s'agirait bien de la même situation que si le facteur devait payer des droits d'auteur lorsqu'il apporte un livre au client qui le lira.  § ['Il', ""s'"", 'agit'] : Il s'agit, d'une part, de la question de la décharge, qui est précisément une question très actuelle."
"Sequoia","avoir trait","§ ['a', 'trait'] : Madame la Présidente, j'interviendrai contre, en effet, pour une raison de principe qui me paraît tout à fait essentielle et qui a trait au respect des Traités, et notamment de l'article 7 du traité d'Amsterdam.  § ['ayant', 'trait'] : L'article 105, paragraphe 6 du traité, stipule que le Conseil peut confier à la B.C.E. des missions spécifiques ayant trait aux politiques en matière de contrôle prudentiel des établissements de crédit et d'autres établissements financiers, à l'exception des entreprises d'assurances."
"Sequoia","se abstenir","§ ['me', 'abstenue'] : Je me suis finalement abstenue en ce qui concerne le vote pour un certain nombre de raisons.  § [""m'"", 'abstenir'] : Je voyais d'un bon oeil l'amendement du groupe EDD, rejetant l'interférence de l'UE dans la formation du gouvernement d'États membres, mais j'ai dû m'abstenir parce que cela suivait la condamnation de la xénophobie, du racisme, etc., et j'ai estimé que cela pourrait être mal interprété."
"Sequoia","prendre mesure","§ ['prendre', 'mesures'] : Il faut donc prendre des mesures dans le cadre de la politique commune de pêche et affecter les ressources financières adéquates afin d'assurer le rendement qui s'appuie exclusivement sur l'activité de pêche, plus précisément à des périodes de paralysie ou de réduction de l'activité de pêche.  § ['mesures', 'prises'] : Pour garantir une concurrence loyale, il convient que ces mesures soient prises au niveau international.  § ['mesures', 'prises'] : Quelles sont les mesures prises pour assurer la sécurité d'emploi d'Aclasta ?"
"Sequoia","se appuyer","§ [""s'"", 'appuie'] : Il faut donc prendre des mesures dans le cadre de la politique commune de pêche et affecter les ressources financières adéquates afin d'assurer le rendement qui s'appuie exclusivement sur l'activité de pêche, plus précisément à des périodes de paralysie ou de réduction de l'activité de pêche."
"Sequoia","se situer","§ ['se', 'situées'] : Je voudrais profiter de ce moment pour rappeler la haute qualité et la constance des relations entre le Parlement européen et le Parlement belge qui, grâce à l'engagement majoritaire de nos collègues belges en faveur de la cause européenne, se sont toujours situées bien au-delà des simples relations de bon voisinage qui sont un devoir commun largement partagé.  § ['se', 'situaient'] : Pendant toute cette période, les marqueurs de remodelage osseux se situaient dans la gamme des valeurs pré-ménopausiques à la fin de chaque année.  § ['se', 'situe'] : Aucune poursuite judiciaire ne sera intentée contre lui, mais c'est au niveau politique que se situe ici la crise."
"Sequoia","couronner de succès","§ ['couronnée', 'de', 'succès'] : Nous ferons tout ce qui est en notre pouvoir afin que la visite de M. Herman De Croo et de ses deux collègues soit couronnée de succès."
"Sequoia","prendre à le sérieux","§ ['prendre', 'à', 'le', 'sérieux'] : Nous devrions prendre cela au sérieux."
"Sequoia","avoir but","§ ['auront', 'but'] : C'est un lieu commun de dire que l'Union européenne, telle qu'elle fonctionne aujourd'hui, face à tous ces défis, appelle absolument certaines transformations, des transformations qui auront comme but principal de la faire encore évoluer sur la base de tout ce que nous tous, nous avons admis jusqu'à ce jour."
"Sequoia","se exprimer","§ [""s'"", 'expriment'] : Le deuxième point consiste à reconfirmer et à consacrer un autre principe important, celui de l'équilibre des forces, un principe qui concerne précisément le rôle et le rapport des membres de l'Union, un principe qui s'exprime de la manière dont s'expriment tous les États membres au sein de toutes -je répète, toutes- les institutions de l'Union européenne.  § [""s'"", 'exprimer'] : Faire s'exprimer les enfants à travers cette activité, c'est important.  § [""s'"", 'exprimée'] : Je suis contraint de vous redemander d'intervenir, à vous et à la Commission, pour que ce procès se déroule dans le respect total des droits de l'homme, pour qu'on ne condamne pas à mort treize personnes sans connaître tous les tenants et aboutissants, vu que cette Assemblée s'est exprimée à plus d'une reprise contre la peine capitale."
"Sequoia","criminalité exercer","§ ['criminalité', 'exerce'] : en effet, avec la criminalité croissante, transnationale qui s'exerce au détriment du budget UE, la coopération entre les États membres n'est pas suffisante au niveau policier et judiciaire."
"Sequoia","avoir faim","§ ['ont', 'faim'] : Le bruit des armes a trop longtemps couvert les cris de ceux qui ont faim.  § ['avait', 'faim'] : Le grand chef essaie de le chasser en tapant sur un bouclier, mais le lion continue à se frotter le ventre, il n'avait pas faim, il était seulement malade."
"Sequoia","poser diagnostic","§ ['poser', 'diagnostic'] : Deuxièmement, il existe des tests qui permettent de poser un diagnostic rapide et de déceler l'ESB chez les bovins."
"Sequoia","condamner à mort","§ ['condamnés', 'à', 'mort'] : Seuls 4 autres caporaux, tous originaires de la Manche sont condamnés à mort le 16 mars 1915.  § ['condamnées', 'à', 'mort'] : Je pense aux droits économiques et sociaux, afin d'éviter un avenir fait de quelques privilégiés qui seraient en paix avec leur conscience parce qu'ils se sont battus pour une noble cause comme, par exemple, la suppression de la peine de mort, et de trop nombreuses personnes condamnées à mort par les processus d'exclusion et de marginalisation économique.  § ['condamne', 'à', 'mort'] : Je suis contraint de vous redemander d'intervenir, à vous et à la Commission, pour que ce procès se déroule dans le respect total des droits de l'homme, pour qu'on ne condamne pas à mort treize personnes sans connaître tous les tenants et aboutissants, vu que cette Assemblée s'est exprimée à plus d'une reprise contre la peine capitale."
"Sequoia","entraîner versement","§ ['entraîner', 'versement'] : Le dirigeant de la Somatem, lui, avait confirmé, sur procès-verbal, que ce marché devait entraîner ""le versement d'une commission d'entre 1% et 5% du montant du marché, dont le paiement devait s'effectuer à l'étranger""."
"Sequoia","paiement effectuer","§ ['paiement', 'effectuer'] : Le dirigeant de la Somatem, lui, avait confirmé, sur procès-verbal, que ce marché devait entraîner ""le versement d'une commission d'entre 1% et 5% du montant du marché, dont le paiement devait s'effectuer à l'étranger""."
"Sequoia","avoir devoir","§ ['a', 'devoir'] : Donc l'Autriche a tout à fait le droit de former un gouvernement et le Président de la Commission a parfaitement le droit, et a même le devoir, de présenter ses meilleurs voeux à l'Autriche."
"Sequoia","accomplir mission","§ ['accomplit', 'mission'] : Monsieur le Président, un journaliste accomplit une mission d'information, qui exige la liberté."
"Sequoia","se taire","§ ['se', 'taisent'] : Je ne comprends pas que les instances du pouvoir européen se taisent, laissent faire et, en travaillant avec les Russes comme si de rien n'était, cautionnent ce gouvernement qui fait cette guerre."
"Sequoia","se occuper","§ [""s'"", 'occupe'] : Il y a un problème général de sécurité, dont je sais que le Haut Représentant s'occupe comme il le faut.  § ['se', 'occupé'] : Il se serait notamment occupé pour le compte de Thomson des ""affaires parisiennes"" de l'intermédiaire : appartement, loyers, relations avec le syndic...  § [""s'"", 'occuper'] : Puis, elle décide de rester à la maison pour s'occuper de sa fille et de ses deux fils Denis et René."
"Sequoia","se efforcer","§ ['nous', 'efforçons'] : Nous nous efforçons depuis des années de mieux défendre les intérêts financiers de la Communauté.  § [""s'"", 'efforcé'] : Le Parlement s'est efforcé d'en tenir compte dans sa propre recommandation."
"Sequoia","faire proposition","§ ['faire', 'propositions'] : La Commission pourrait utilement faire des propositions en simplifiant et en codifiant les quelque 11 directives régissant le secteur bancaire, les 8 directives concernant les fonds d'investissement et les 21 directives traitant du secteur des assurances."
"Sequoia","il convenir","§ ['il', 'convient'] : Pour garantir une concurrence loyale, il convient que ces mesures soient prises au niveau international.  § ['il', 'convient'] : Il a rappelé que plusieurs automobilistes ont quitté la chaussée à l'intersection de la RD192 et du chemin rural de la Vaux des Fossés et qu'il convient de modifier le régime de priorité à cet endroit.  § ['Il', 'convient'] : Il convient en outre de ne pas l'utiliser chez les patients ayant eu une hémorragie récente, souffrant d'hypertension aiguë ou présentant des troubles graves des reins, ou encore chez les patients présentant une infection cardiaque."
"Sequoia","réflexion mener","§ ['réflexion', 'menée'] : Une réflexion commune est menée avec les enseignants et les délégués de parents d'élèves, sous la conduite du CAUE."
"Sequoia","avoir tort","§ ['eu', 'tort'] : Peut-être a-t-elle eu le tort, la veille, de faire installer des poubelles fixes, synonymes, à priori, de propreté, ce qui a eu probablement pour effet d'inciter les gens à rester à domicile."
"Sequoia","il sembler","§ ['Il', 'semble'] : Il semble qu'un malaise du conducteur, qui pourrait être d'origine épileptique, soit à l'origine de cet accident peu classique.  § ['il', 'semble'] : Pour l'instant, il semble que l'opposition des gouvernements étrangers favorise plus que ne handicape le parti de Haider.  § ['Il', 'semble'] : Il me semble qu'en vertu de la présente réglementation, le gouvernement central peut intégrer dans ses calculs la contribution de l'UE au financement structurel pour déterminer les budgets du gouvernement régional."
"Sequoia","recevoir promotion","§ ['reçoit', 'promotion'] : Sur des critères très stricts de compétence et d'accueil, c'est le premier établissement en France qui reçoit cette promotion selon la toute nouvelle loi du 16 décembre 1998 sur les Offices de tourisme."
"Sequoia","remporter succès","§ ['remporte', 'succès'] : Bourse dédiée aux passionnés et amateurs reposant sur le principe du troc et qui remporte un vif succès."
"Sequoia","subir fracture","§ ['subi', 'fracture'] : En outre, les patients souffrant de la maladie de Paget doivent prendre au moins 500 mg de calcium deux fois par jour pendant au moins 10 jours après le traitement et les patients qui ont subi une fracture de la hanche doivent recevoir une large dose de vitamine D (50 000 à 125 000 unités internationales) par voie orale ou par injection intramusculaire avant leur première perfusion."
"Sequoia","subir ablation","§ ['subi', 'ablation'] : - si vous avez déjà subi une ablation d'une partie de votre intestin."
"Sequoia","faire le tour de le monde","§ ['fait', 'le', 'tour', 'de', 'le', 'monde'] : Les cadavres, dont les images avaient fait le tour du monde, avaient en réalité été sortis de la morgue d'un hôpital local ;"
"Sequoia","accorder promotion","§ ['accorder', 'promotion'] : L'instruction a révélé l'existence d'une lettre datée de décembre 1993 et signée par Jacques Chirac, qui demande à son administration d'accorder une promotion à une employée municipale, Madeleine Farrad, qui, bien que rémunérée par la ville, travaille en fait au siège du RPR."
"Sequoia","porter plainte","§ ['porté', 'plainte'] : En effet, Alfred Sirven, son officier traitant chez Elf Thomson CSF a contesté la réalité de l'intervention du réseau Elf et a porté plainte pour tentative d'escroquerie.  § ['porter', 'plainte'] : Le temps de digérer cette expédition forcée et le jeune Belfortain a décidé d'aller porter plainte à la brigade de gendarmerie de Bethoncourt.  § ['porter', 'plainte'] : Seules quelques familles oseront porter plainte pour la disparition de 353 personnes."
"Sequoia","se jeter","§ ['se', 'jeter'] : Habitant au deuxième étage, il était monté au cinquième par l'escalier de service, a ouvert une fenêtre pour se jeter dans le vide.  § ['se', 'jeter'] : Une seconde opération se déroulait en parallèle sur le territoire de la commune, avec un groupe d'une dizaine de chevaliers de la gaule ""La Barisienne"", des pêcheurs à la ligne venus nettoyer les rives et curer le petit ruisseau qui serpente sous les ""Sources"" avant de se jeter dans l'Ornain."
"Sequoia","recevoir mission","§ ['reçu', 'mission'] : Dans son ordonnance de renvoi pour le procès de 49 prévenus qui s'est ouvert en janvier 2006, le juge d'instruction Armand Riberolles, successeur du juge Éric Halphen, écrit que ""l'instruction n'est pas parvenue à établir formellement l'implication personnelle de responsables au sein de l'appareil politique du RPR"", tout en relevant qu'""un grand nombre de témoignages, corroborés par divers éléments factuels, concourent à établir que Jean-Claude Méry avait reçu mission d'assurer le financement des activités politiques de ce parti en collectant des fonds, notamment auprès des entreprises fournisseurs de l'OPAC."" (cité par Le Monde du 25/01/06)."
"Sequoia","ce être le tour","§ [""c'"", 'est', 'le', 'tour'] : D'autres enlèvements suivent en 1986 : en mars, c'est le tour d'une équipe d'Antenne 2 qui vient de filmer une manifestation du Hezbollah."
"Sequoia","ce être sans compter","§ [""c'"", 'était', 'sans', 'compter'] : Ils avaient composé la rançon sur des avoirs éparpillés à travers le monde ""dans des paradis fiscaux, c'était sans compter sur le système de clearing de la société Cedel, dans laquelle Ernest Backes travaillait, et qui centralisait les flux vers la banque algérienne."
"Sequoia","mettre en scène","§ ['mis', 'en', 'scène'] : L'affaire des photos d'Adnan Hajj est une controverse ayant pour objet certains clichés ""mis en scène"" et des retouches réalisées par le photographe libanais indépendant Adnan Hajj, sur des photos diffusées par l'agence Reuters et reprises par la presse internationale.  § ['mettre', 'en', 'scène'] : Dans un premier temps, ils ont étudié les dialogues du livre et en ont extrait quelques-uns pour mieux les mettre en scène.  § ['mettre', 'en', 'scène'] : Quelques mois auront été nécessaires pour mettre en scène le Petit Prince."
"Sequoia","voir le jour","§ ['virent', 'le', 'jour'] : En 1953, les hauts fourneaux et fonderies de Cousances virent le jour, puis Jean Baudesson, maire échevin de Saint-Dizier, autorisé par lettres patentes d'Henri IV, installa à Marnaval- qui signifiait val ou vallée de la Marne ou bien en aval de la Marne-, une forge qui connut son apogée au XIXe siècle.  § ['voit', 'le', 'jour'] : Nous devons considérer les personnes qui votent pour ces partis et comprendre pourquoi cette situation voit le jour."
"Sequoia","mettre en valeur","§ ['mis', 'en', 'valeur'] : Un voyage étonnant où photos, réalisations, vieux outils, documents anciens, permettront de mesurer combien ce petit bout de terre de France, situé aux Marches de l'Est, lieu de passage de prédilection des invasions, fut une terre de labeur, et combien le travail de ses habitants, durs à la tâche, doit être reconnu et mis en valeur."
"Sequoia","avoir ambition","§ ['a', 'ambition'] : Cette exposition, comme devait conclure Roger Thiriot, ""n'a d'autre ambition que d'apporter un modeste témoignage sur le passé du tissu économique de la région."
"Sequoia","apporter témoignage","§ ['apporter', 'témoignage'] : Cette exposition, comme devait conclure Roger Thiriot, ""n'a d'autre ambition que d'apporter un modeste témoignage sur le passé du tissu économique de la région."
"Sequoia","faire historique","§ ['fait', 'historique'] : Dans son intervention, M. Soyer a fait l'historique de l'école maternelle, qui existe à Vignot depuis 1972."
