"sous_corpus","expression","Phrase(s)"
"ESLO_ANCOR","risque comporter","§ ['risques', 'comporte'] : euh j' ai pris beaucoup de risques d' ailleurs puisque j' avais très peu de capitaux c' était au moment de la dévaluation ça n' a peut-être enfin au moment de la dévaluation de la non dévaluation ça m' a un peu précipité euh je ne le regrette pas mais enfin euh ça va coller c' est tant mieux alors j' ai monté ça euh donc voyez comment j' envisage euh ma ma ma une reconversion éventuelle d' ici à mon avis entre cinq et dix ans qui viennent parce que je pense que ici on resterait je suis en supposant que un recteur le recteur change ou qu' on veuille prendre ma place euh il y en aura et compte tenu de mon expérience je vois vraiment pas ce que je pourrais faire d' autre alors euh donc je mets j' ai monté ce truc -là pour avoir un point de chute et puis alors d' autre part euh je suis persuadé que les études c' est bien mais que si on a un peu de dynamisme et de et puis enfin si on choisit quelque chose d' intelli- d' une branche intelligente on doit arriver à faire quelque chose euh j' ai toujours vu moi des au moment où mes études n' allaient pas très bien euh il a été envisagé que je sois garagiste ça me plaisait et ça m' aurait très bien été certainement et j' ai vu des tas de g ars de gens qui se sont installés avec rien du tout avec un capital euh lamentable rien du tout euh marchand de voitures d' occasion et puis ces gens -là trois ans après ils ont non pas une fortune mais enfin ils ont en stocks quatre-vingts voitures d' occasion leur affaire tourne donc ils ont ils ont fait du capital et ils s' agrandissent et ils font une atelier de ci un atelier de ça quelque chose qui est absolument impossible euh dans le métier de salarié vous êtes salarié votre salaire augmente mais vous ne pouvez pas créer une entreprise à vous évidemment avec tous les risques que ça comporte hein euh et puis euh donc vous vous êtes un un petit peu vous êtes limité vous restez limité alors c'"
"ESLO_ANCOR","faire travail","§ ['fait', 'travail'] : coffrage apparent alors c' est on a fait tout le travail tout le le BRGM BRGM CNRS je travaille toujours pour le CNRS encore pour le moment tous les ouais ouais tout à la Source tous les bâtiments là du BRGM du CNRS euh et puis le le restaurant le restaurant universitaire tout ça  § ['fait', 'travail'] : autrement dit vous êtes à la fois le le grand couturier et puis la personne qui fait le travail ?  § ['faire', 'travail'] : ah c' est si on veut faire son travail comme il faut c' est un travail euh comment dirais- je euh fatigant c' est pas dur"
"ESLO_ANCOR","faire essai","§ ['faire', 'essais'] : puis alors il y a eu également euh diverses erreurs euh commises où on a voulu faire des essais pour apprendre aux enfants à lire  § ['fait', 'essais'] : très souvent ce sont les problèmes familiaux aussi qui peuvent intervenir ou la gueule du professeur ou la façon de de présenter les choses euh on fait beaucoup d' essais sur des pour enseigner les mathématiques là j' ai lu dernièrement euh on a entrepris les math- ce qu' ils appellent les mathématiques modernes je sais pas ce que ça donne ce que ça donnera j' en sais rien enfin bon disons que c' est une présentation différente d' une science qui est toujours qui reste la même de toute façon et alors il y a certainement des enfants qui sont plus accrochés qui apprendront mieux avec cette méthode qu' avec une autre ça bien sûr euh mais bon on n' est pas forcément obtus aux mathématiques mais quelquefois on est obtus à la façon de les présenter  § ['fait', 'essais'] : mais enfin c' est une bonne formule je pense qu' il faudrait le l' améliorer et puis mais il est il de- enfin il y a quelque temps ils a- je crois qu' ils avaient fait des essais en direction des commités d' entreprises pouvoir jouer dans les usines mais les les évènements de mai et juin ont tout arrêté"
"ESLO_ANCOR","avoir formation","§ ['avoir', 'formation'] : ça fait dresser les cheveux sur la tête quand on entend des des mots comme ça oh ça c' est terrible oui parce que écoutez on demande quand même à ces gens -là d' avoir une formation quand même qui soit qui soit acceptable"
"0-100","travail accomplir","§ ['travaux', 'accomplis'] : Pour la fin de l'année et après avoir distribué les colis aux anciens, M. Didier Louis, lors de son allocution, a fait tout d'abord une rétrospective des travaux qui ont été accomplis dans la commune."
"annodisER","action entreprendre","§ ['actions', 'entreprises'] : Il rappelle néanmoins un certain nombre d'actions entreprises par le gouvernement, et plus particulièrement la mise en place du groupe de travail, réuni pour la première fois il y a quelques jours."
"ESLO_ANCOR","il être question","§ ['il', 'est', 'question'] : à seize ans mais il y a des enfants qui n' aiment pas les études et à partir de ce moment -là il n' est pas question d' âge qu' on les fasse aller jusqu' à seize ans et qu' après on leur fasse faire autre chose puisque mais enfin je sais pas si c' est une question d' âge joue tellement enfin je sais que j' aurais des enfants personnellement je ferais n' importe quoi pour qu' ils fassent des études euh le plus longtemps possible à la condition que ça les intéresse s' ils ont envie de faire de la danse qu' ils fassent de la danse s' ils sont heureux en faisant de la danse"
"ESLO_CO2","donner concert","§ ['donne', 'concerts'] : bon y a une société de musique orléanaise y a le conservatoire qui donne des concerts euh"
"ESLO_ANCOR","religion avoir","§ ['religion', 'a'] : cet esprit alors est -ce que cet esprit est fait parce que justement y a presque que tous des enfants laïques d' enf- de parents laïques qui vont là est -ce que l' autre ambiance est faite parce que c' est tous des enfants catholiques qui vont dans l' autre école mais enfin il est certain que le résultat c' est pas pareil c' est y a là euh quelque chose vous voyez cette religion cette religion que l' on a ou que l' on n' a pas et monsieur l' abbé Cartier je le connais très bien connais très bien parce que je je mais moi voyez j' ai préféré l' école euh publique que l' école chrétienne quand j' ai été dû travailler"
"0-100","mener action","§ ['mener', 'actions'] : D'ores et déjà, Guy Rolland se demande « si l'année prochaine nous n'allons pas mener des actions plus ciblées comme celles que nous menons en direction des boîtes de nuit."
"ESLO_ANCOR","avoir opinion","§ ['avez', 'opinion'] : enfin pour pour revenir à à l' enseignement euhm est -ce que vous avez une opinion sur l' âge de la scolarité ?  § ['a', 'opinions'] : bon euh ben l' électeur il il a ses opinions propres euh il les maintient évidemment y a le dans le second tour y a des"
"ESLO_ANCOR, ESLO_CO2","impression avoir","§ ['impression', 'a'] : en fait en fait euh c' est pas tout à fait exact c'est-à-dire que c' est l' impression qu' on a directement mais euh avec un peu de réflexion et surtout au fil des années on s' aperçoit que finalement c' est pas tout à fait ça puisque enfin il y avait un domaine dans lequel on était très sûr de nous puisque euh soi-disant qu' on avait réussi à avoir maintenant un équilibre financier remarquable on avait de l' or en veux- tu en voilà on était prêt à en prêter aux Américains et puis et puis et puis il a suffi de de pas grand-chose puisque enfin trois semaines de grève bien sûr ça coûte cher mais c' est pas quand même très dramatique puisque de toute façon les Français prennent quatre à cinq semaines de vacances ça fait jamais que trois semaines de plus donc si on fait le pourcentage sur l' activité économique totale de l' année c' est pas tellement important hein  § ['ai', 'impression'] : à peu près pour la même raison mais seulement c' était moins développé dans mon temps enfin c' était une impression à moi j' ai l' impression que c' était moins développé que maintenant"
"ESLO_ANCOR","décision prendre","§ ['décisions', 'prises'] : un conseil consultatif où des décisions euh les décisions étant prises par le corps professoral qui eux connaissent quand même mieux les problèmes et puis en fait euh il y a toute la vie devant soi hein  § ['prendre', 'décisions'] : je crois que le pouvoir de décision doit appar- doit appartenir à celui qui domine le problème vous me direz si c' est un bon à rien un bon à rien il y connaît rien ça tant pis alors euh et ça à ce moment -là y a qu' à l' enlever en mettre un autre enfin on part de du postulat que le patron connaît son affaire mais c' est lui qui doit justement prendre ces décisions parce que il voit quand même le problème dans son ensemble mais il ne faut pas négliger euh les avis et les suggestions des gens qui sont en-dessous de vous absolument pas et très souvent d' ailleurs euh oui ils abordent des problèmes que j' ignore totalement toute entreprise bah ça mène un tas de choses que je ne vois pas"
"ESLO_ANCOR","problème poser","§ ['problèmes', 'posent'] : c' est pas les mêmes problèmes qui se posent à chacun  § ['problèmes', 'posent'] : la théorie des ensembles et il paraît qu' on arrive par ces mathématiques -là à résoudre les problèmes qui se posent bien mieux qu' avec les mathématiques classiques que j' ai apprises autrefois ça reste à démontrer  § ['pose', 'problèmes'] : ça pose des problèmes pour l' éducation pour euh"
"Sequoia","audition conduire","§ ['auditions', 'conduites'] : Les multiples auditions conduites par le juge Armand Riberolles ont essentiellement porté sur le rôle du promoteur Jean-Claude Méry, dont les révélations avaient relancé l'enquête."
"ESLO_ANCOR","donner ordre","§ ['donné', 'ordre'] : j' ai dit moi j' avais donné l' ordre j' ai dit les gars chaque gars sur sur les chantiers le onze mars avant de faire grève la grève c' est pas question de rester à la maison et tout ça on fait grève c' est pour obtenir satisfaction vous allez le lun- le le onze mars vous allez et puis chaque délégation il va au patron il dit on demande ça on veut une amélioration de ça ou ça"
"Sequoia","chasser sur le terre","§ ['chassent', 'sur', 'les', 'terres'] : Le Canard enchaîné ""verrait bien l'intérêt de Chevènement, ou de Villiers, qui chassent sur les mêmes terres que Pasqua"", avant de conclure que ""ni l'un ni l'autre ne disposaient des moyens nécessaires pour lancer pareil missile""."
"ESLO_ANCOR","faire classe","§ ['faire', 'classes'] : absolument pas ça dépendra uniquement de lui s' il réussit bien euh à faire des classes littéraires euh ou en philo euh moi ça me dérange absolument pas pourquoi je veux pas je veux absolument pas en faire un technicien s' il réussit euh comme technicien euh tant mieux mais je serai pas plus heureux parce qu' il aura réussi comme technicien pas  § ['fait', 'classe'] : parce que même je vois enfin dans leurs écoles il y a pas les élèves n' ont pas de participation dans les conseils d' administration mais il y a des délégués de classe des des conseils de classe élus donc il des délégués de classe ben est -ce ils sont encore absolument pas formés pour ce genre de choses les élèves jusqu' à maintenant voient plutôt ça dans un sens de de revendications voyez quand euh un professeur vous plaît pas quand il fait mal la classe enfin quand on trouve quand on trouve enfin alors c' est davantage euh des récriminations qu' ils font je crois que les élèves sont pas formés à à prendre une part euh active"
"ESLO_ANCOR","faire plaisir","§ ['fait', 'plaisir'] : oh j' ai les loisirs vous savez pour moi j' ai vu la télévision ça me fait bien plaisir ah autrefois j' aimais aller au théâtre"
"Sequoia","donner permission","§ ['donne', 'permission'] : Selon l'article 46 (2) de la loi fondamentale de la république fédérale, les députés du Bundestag ne peuvent pas être appelés à témoigner ou être arrêtés pour une infraction, sauf si le Bundestag en donne la permission, à moins qu'ils ne soient arrêtés en flagrant délit ou le jour suivant le délit."
"ESLO_ANCOR","avoir rendement","§ ['avoir', 'rendement'] : si on veut avoir un bon rendement parce que maintenant il n' y a que ça qui compte si on veut être au courant surtout de toutes les affaires il ne faut pas arrêter maintenant je pense qu' elle aura de des difficultés pour se remettre au travail tout au moins à un échelon qui correspond euh à son degré d' instruction"
"emea","atteindre SCA","§ ['atteints', 'SCA'] : Pour les patients atteints d'un SCA, la dose initiale recommandée est un bolus intraveineux de 0,1 mg/kg suivi d'une perfusion de 0,25 mg/kg/h."
"emea","étude réaliser","§ ['études', 'réalisées'] : Des études d'interactions médicamenteuses ont été réalisées avec des inhibiteurs plaquettaires, notamment l'acide acétylsalicylique, la ticlopidine, le clopidogrel, l'abciximab, l'eptifibatide ou le tirofiban."
"Sequoia","recevoir coup de fil","§ ['reçoit', 'coup', 'de', 'fil'] : - 1er février 1995 : Éric Halphen reçoit à son cabinet un coup de fil anonyme."
"ESLO_ANCOR","avoir projet","§ ['avez', 'projets'] : et est -ce que vous avez des projets pour les vacances d' été ?  § ['avez', 'projets'] : vous n' avez pas de projets encore euh ?"
"Sequoia","avoir trait","§ ['a', 'trait'] : Madame la Présidente, j'interviendrai contre, en effet, pour une raison de principe qui me paraît tout à fait essentielle et qui a trait au respect des Traités, et notamment de l'article 7 du traité d'Amsterdam.  § ['ayant', 'trait'] : L'article 105, paragraphe 6 du traité, stipule que le Conseil peut confier à la B.C.E. des missions spécifiques ayant trait aux politiques en matière de contrôle prudentiel des établissements de crédit et d'autres établissements financiers, à l'exception des entreprises d'assurances."
"Sequoia","mettre en pratique","§ ['mis', 'en', 'pratique'] : Qui va veiller à ce que tous ces projets soient mis en pratique de façon rapide et efficace ?"
"frwiki","porter nom","§ ['porte', 'nom'] : L'école de Percy porte le nom de ""Blanche et Théophile Maupas"" depuis 1998."
"ESLO_ANCOR","faire fête","§ ['faire', 'fête'] : alors euh actuellement on on appuie on continue plutôt grandement enfin le c- c' est l' occasion de faire une grande fête mais ça a toujours existé"
"ESLO_ANCOR, ESLO_CO2, UBS","problème avoir","§ ['problèmes', 'ont'] : de de voir si on peut pas en rajouter un à telles heures ou bon ça s' est pas encore produit mais ça peut se produire mais enfin pour le moment il y en a tous les quarts d' heure aux heures de pointe et en général toutes les demi heures et ma foi comme il y a quand même beaucoup de voitures sur quatre mille étudiants qu' on a ici il y a certainement deux mille voitures plus ben évidemment y en a toujours qui n' ont pas de voitures hein je crois qu' enfin les problèmes c' est surtout les problèmes que qu' ont les étudiants je crois c' est l' isolement ici y a pas d' endroit pour se réunir d' endroit sympa voyez euh un café à Beauchamp là à Orléans-deux là y a rien du tout  § ['a', 'problèmes'] : en ce qui concerne l' école libre et l' école laïque je crois que l' école libre ces derniers temps est mieux que l' école laïque dans beaucoup de domaines parce que elle n' a pas les problèmes de l' école laïque ses professeurs n' ont pas les mêmes problèmes que les professeurs de l' école laïque parce que ils ont moins de monde ils n' ont pas cet que l' on a dans l' école laïque alors évidemment ils se trouvent dans une position favorisée au point de vue enseignement je ne pense pas qu' il soit inférieur que les maîtres de l' école libre soient inférieurs à ceux de l' école laïque je ne pense pas je ne crois pas je crois que ils ont été favorisés à cause de cet embouteillage monstre euh que l' on a et que l' on connaît encore dans nos lycées et nos et nos universités  § ['ai', 'problèmes'] : c' est d' ailleurs pour ça que les comités d' entreprise ont été établis c' est pour avoir une relation directe entre les ouvriers et le patron sans passer par la voie hiérarchique c' est un court-circuitage qui est admis et qui est très valable et ici j' ai pas de problèmes d' ailleurs sur le point de vue syndical ou comité d' entreprise absolument pas oh ils me répondent d' une façon très honnête on expose ses problèmes et si on leur dit oui c' est oui on leur dit non c' est non ils demandent quelquefois pourquoi euh parce que je ne vois pas mais on a absolument aucun problème"
"ESLO_ANCOR","avoir question","§ ['ai', 'question'] : hm hm alors j' ai une question que je vais vous poser c' est de parler des événements de mai dernier  § ['ai', 'question'] : enfin j' ai une que- enfin une dernière question sur ce questionnaire qui est est -ce que les différences entre les classes ont tendance à diminuer ou à augmenter ?  § ['ayez', 'questions'] : garder plus longtemps euh à moins que vous ayez des questions à me poser je je vous en ai tellement posé maintenant"
"emea","souffrir de maladie","§ ['souffrant', 'de', 'maladie'] : Aclasta ne doit être utilisé, chez les patients souffrant de la maladie osseuse de Paget, que par un médecin expérimenté dans le traitement de cette maladie."
"ESLO_CO2","garder souvenir","§ ['gardé', 'souvenir'] : alors il y a eu un il y a eu un intermède où pendant l' évacuation j' ai été un trimestre à l' école euh laïque et obligatoire et dont j' ai gardé un souvenir euh tout à fait remarquable"
"0-100","crime commettre","§ ['crime', 'commis'] : Un crime commis une semaine plus tôt, dans un studio de la résidence Lemire."
"ESLO_ANCOR","avoir relation","§ ['avoir', 'relation'] : c' est d' ailleurs pour ça que les comités d' entreprise ont été établis c' est pour avoir une relation directe entre les ouvriers et le patron sans passer par la voie hiérarchique c' est un court-circuitage qui est admis et qui est très valable et ici j' ai pas de problèmes d' ailleurs sur le point de vue syndical ou comité d' entreprise absolument pas oh ils me répondent d' une façon très honnête on expose ses problèmes et si on leur dit oui c' est oui on leur dit non c' est non ils demandent quelquefois pourquoi euh parce que je ne vois pas mais on a absolument aucun problème"
"Sequoia","en croire","§ ['en', 'croire'] : à en croire Alain Fribourg, la disproportion entre les deux commissions s'expliquait par le fait que les ""négociations"" menées à Taïwan par Andrew Wang avaient ""permis d'obtenir"" l'augmentation du volume du marché conclu avec Taïpeh, passant de 12 milliards initialement prévus à 16 milliards de francs lors de la signature finale."
"Sequoia","prendre en otage","§ ['pris', 'en', 'otage'] : Or, il est pris en otage et traité comme un prisonnier de guerre."
"emea","subir angioplastie","§ ['subissant', 'angioplastie'] : Il est utilisé en conjonction avec de l'aspirine et du clopidogel (médicaments contribuant à prévenir les caillots sanguins) chez les patients sur le point de subir un traitement pour leur SCA, comme un traitement médicamenteux, subissant une angioplastie ou un pontage coronarien."
"ESLO_ANCOR","enseignement dispenser","§ ['enseignement', 'dispensé'] : surtout en dans les mathématiques notamment ou autres euh l' enseignement qui est dispensé maintenant en mathématiques en en seconde ben c' est ce qu' on ne faisait dans les dans les mathématiques élémentaires euh y a y a vingt ans"
"ESLO_ANCOR","faire grève","§ ['fait', 'grève'] : est -ce que vous vous avez déjà fait grève ?  § ['faire', 'grève'] : comme j' ai commencé à faire grève ?  § ['fait', 'grève'] : ah bon mais est -ce que vous pouvez me raconter ce qui s' est passé quand quand vous avez fait grève ?"
"ESLO_CO2","en revenir","§ ['en', 'reviens'] : mais on on peut faire des bons manuels moi vous vous me direz que j' en reviens toujours à cette question mais enfin y a des bons métiers manuels et on euh un élément moyen peut faire un un bon manuel tout de même et il gagne sa vie"
"ESLO_ANCOR","avoir perception","§ ['avaient', 'perception'] : je sais pas euh je sais pas très bien l' utiliser enfin je sais qu' en général euh oui le docteur qui a fait cette méthode a observé que les enfants qui avaient des troubles du langage euh avaient des une mauvaise perception sur les aigus"
"Sequoia","succès rencontrer","§ ['succès', 'rencontré'] : Lors de l'assemblée générale de l'Association paroissiale d'éducation populaire, le bilan dressé par le vice-président, M. Ménétrez, fait apparaître un solde financier positif, notamment grâce au succès rencontré par le loto, au don de la section des ""Fourmis"" après leur marché de Noël et à la vente de fleurs à l'occasion de la fête des Mères."
"ESLO_ANCOR","cours donner","§ ['cours', 'donnent'] : justement ils doivent euh euh ils doivent euh comment juger puisqu' aujourd'hui vous voyez bien on apprend plus à l' école comme on apprenait et je crois justement c' est l' Académie qui doit juger d' après des instituteurs qui doivent questionner ou des professeurs suivant les cours qu' ils donnent euh euh pour juger ce qui est bon à prendre ce qui est bon à aider un cerveau à se développer euh euh plutôt ça que ça euh"
"Sequoia","traiter par le mépris","§ ['traiter', 'par', 'le', 'mépris'] : Le Président décide de traiter l'affaire par le mépris et fait confiance aux autres journaux pour mener une enquête scrupuleuse qui rétablirait la vérité."
"ESLO_ANCOR","poser question","§ ['poser', 'questions'] : une petite liasse cela oui oui d' accord je m' excuse de vous poser toutes ces questions ça ça a l' air très indiscret mais c' est c' est très utile pour nous  § ['poser', 'questions'] : maintenant vous poser des questions qui feraient peut-être des lacunes dans les  § ['posé', 'questions'] : questionnaires parce que je ne sais même pas plus si je vous ai posé ces questions mais est -ce que je vous ai demandé de me décrire une journée de travail ?"
"Sequoia","avoir occasion","§ ['auront', 'occasion'] : Les membres du club auront l'occasion de s'entraîner cet après-midi, dès 14h, salle Jean-Mathieu."
"ESLO_ANCOR","faire course","§ ['faire', 'courses'] : eh bien d' abord en été je sors beaucoup je voyage énormément je j' ai fait déjà des très très grands voyages à à l' étranger et l' hiver eh bien je reste chez moi euh j' aime bien mon confort euh ma maison j' ai beaucoup d' amis alors évidemment la matinée se passe à faire le ménage à faire les courses euh pour manger faire la cuisine l' après-midi ou j' ai des amies qui viennent ou je vais les voir je vais faire des courses en ville y a toujours quelque chose à faire alors je tricote aussi pas mal quand j' ai tricoté suffisamment pour moi je tricote pour ma famille  § ['fais', 'courses'] : hum je fais les courses alors je marque les courses parce que j' oublierais la moitié ce n' est pas pour une non jamais"
"emea","recevoir perfusion","§ ['reçu', 'perfusion'] : 95% d'entre eux ont reçu leur perfusion 2 semaines ou plus après intervention sur la fracture."
